feature_set,training_set,n_training_set,evaluation_set,n_evaluation_set,estimate_LogLoss,ci_lower_LogLoss,ci_upper_LogLoss,estimate_MSE,ci_lower_MSE,ci_upper_MSE,estimate_R2_Score,ci_lower_R2_Score,ci_upper_R2_Score,estimate_F1_Score,ci_lower_F1_Score,ci_upper_F1_Score,threshold_F1_Score
key_records,train_sample_n_100,100,evaluation_selection_50_percent_split,206549,0.408102180652937,0.405235579004277,0.41090131603165,0.123448252448581,0.12242328545796,0.124455481761267,0.00367953039012736,0.000205539819267897,0.00716766200312234,0.324888062574946,0.321213013203948,0.328617998875837,0.158254774818066
key_records,train_sample_n_1000,1000,evaluation_selection_50_percent_split,206549,0.323595776789052,0.320764182625192,0.326416573217496,0.0976180256392828,0.09669027494053,0.098525035388575,0.212148935135153,0.206717049933962,0.21732393459466,0.501419344221829,0.49744712010764,0.505842355113942,0.222168954682969
key_records,train_sample_n_10000,10000,evaluation_selection_50_percent_split,206549,0.306078928423027,0.303466761150664,0.308612961156915,0.0931977438508072,0.0923021050062393,0.0940565179724396,0.247823941787324,0.242493788763458,0.25259191781234,0.524626596435529,0.520466205924019,0.529266639515178,0.250858175491192
key_records,train_sample_n_100000,100000,evaluation_selection_50_percent_split,206549,0.296221304298463,0.293769104056717,0.298748400900975,0.0903552346373401,0.0895105937399837,0.0912100032347309,0.270765134216205,0.265359107386652,0.275919757645029,0.539164431513388,0.534805029702711,0.543608526074025,0.280197636944785
key_records,train_sample_n_1000000,1000000,evaluation_selection_50_percent_split,206549,0.291931609156367,0.289462974439723,0.294435312938967,0.0892570051286237,0.0884015034685524,0.0901172022604824,0.279628674348695,0.274288291444399,0.28454431866635,0.544146977042116,0.539992225570455,0.548647319615473,0.260005399538778
key_records,train_sample_n_5000,5000,evaluation_selection_50_percent_split,206549,0.31059268747894,0.307964193158291,0.313171715584723,0.0943607289410039,0.0934895112179612,0.0952060415959956,0.238437775290584,0.233324876521372,0.243051507353096,0.518191466779877,0.514006205472859,0.522632033184745,0.2410941929882
key_records,train_sample_n_50000,50000,evaluation_selection_50_percent_split,206549,0.297375473667768,0.294888590711121,0.299948689478699,0.0907037545517333,0.0898287284276012,0.0915827869854333,0.267952315744584,0.262516720707568,0.273022233689723,0.537661094997458,0.533373144553952,0.542089893744327,0.270562309459725
key_records,train_sample_n_3696041,3696041,evaluation_selection_50_percent_split,206549,0.290850306537553,0.288351082710803,0.293366377132139,0.088950241791433,0.0880936496962873,0.0897866925809065,0.282104485760413,0.276415316553925,0.28705623434297,0.54638578363693,0.542186826879069,0.550989425838324,0.270010712138823
persoontab,train_sample_n_100,100,evaluation_selection_50_percent_split,206549,0.462101451490285,0.459056075012425,0.465277731774305,0.142243413913725,0.141149275287885,0.14335482257312,-0.148011593023267,-0.15210332680312,-0.143925881014471,0.266874756145142,0.264259499047261,0.269584914825012,0.0686039651509603
persoontab,train_sample_n_1000,1000,evaluation_selection_50_percent_split,206549,0.376164301153293,0.373290548215225,0.378989322451183,0.116080488221009,0.115145940454821,0.117019365854501,0.0631429425453247,0.0596155697575755,0.0665083927288049,0.375797160611421,0.372326613641476,0.379416636778428,0.153484993231825
persoontab,train_sample_n_10000,10000,evaluation_selection_50_percent_split,206549,0.358102658929224,0.355418002160635,0.360654317832862,0.111387071465395,0.110464777245848,0.112243206300562,0.101022354309184,0.09811444600651,0.103909096377186,0.400796875929193,0.396855542190503,0.404775891296658,0.181290053926297
persoontab,train_sample_n_100000,100000,evaluation_selection_50_percent_split,206549,0.351618400295179,0.349209911819111,0.354042120641529,0.10968098840813,0.108833530595671,0.110531283958609,0.114791730862452,0.111804118856653,0.117514013362022,0.410143422198441,0.406117287820186,0.414071987554643,0.210811917495002
persoontab,train_sample_n_1000000,1000000,evaluation_selection_50_percent_split,206549,0.349527437528662,0.347041619603535,0.351892915667341,0.10910079678425,0.108231690556918,0.109963367836673,0.119474314695781,0.116688588053139,0.122227514792401,0.413534705046572,0.409824571937222,0.417399787995304,0.210143848178398
persoontab,train_sample_n_5000,5000,evaluation_selection_50_percent_split,206549,0.362925650329966,0.360302843943589,0.36554272329822,0.112693556198078,0.111799049341664,0.113568326915504,0.0904780375077222,0.0872388893610453,0.093514274926684,0.394259498428976,0.390562162526271,0.397944076978818,0.181331434782196
persoontab,train_sample_n_50000,50000,evaluation_selection_50_percent_split,206549,0.352756472297493,0.350284946711525,0.3551944255051,0.109977916100082,0.109094627921606,0.11083597261501,0.112395300523276,0.10959252459138,0.115268146707693,0.407605708352843,0.403848682605286,0.411349790997776,0.200476747059657
persoontab,train_sample_n_3696041,3696041,evaluation_selection_50_percent_split,206549,0.348875444451835,0.346433608704604,0.351235349712858,0.10891825624264,0.108055913878022,0.109775344717505,0.12094755449085,0.118196062413051,0.123663999916216,0.414772966819849,0.410999565543846,0.418755537064797,0.210323826870489
sex_and_birthyear,train_sample_n_100,100,evaluation_selection_50_percent_split,206549,0.390739523986909,0.388554164818511,0.392861797375571,0.121887719021651,0.121051605727987,0.122710640803408,0.0162742116911738,0.0128478036233272,0.0195686172625807,0.353279827571538,0.350255362425555,0.356432347816631,0.133179631851742
sex_and_birthyear,train_sample_n_1000,1000,evaluation_selection_50_percent_split,206549,0.367276674762085,0.364689434904759,0.3697976834833,0.11362561956006,0.112759357856832,0.114451795563122,0.0829555834583807,0.079384305500885,0.0862967389398126,0.396508549760321,0.392927669838048,0.400535796780426,0.273341839908707
sex_and_birthyear,train_sample_n_10000,10000,evaluation_selection_50_percent_split,206549,0.357552462321566,0.355096970021988,0.360055700276523,0.111028316504499,0.11012759444457,0.111907003729717,0.103917777322672,0.101298688964096,0.106658179356252,0.401483778532315,0.397813360836009,0.40539907056319,0.180437091185787
sex_and_birthyear,train_sample_n_100000,100000,evaluation_selection_50_percent_split,206549,0.356137178894908,0.353731808019739,0.358584423062275,0.110724788412384,0.10981979771452,0.111593153104072,0.10636747786746,0.103736162614686,0.109097678912378,0.401483778532315,0.397813360836009,0.40539907056319,0.200597516380357
sex_and_birthyear,train_sample_n_1000000,1000000,evaluation_selection_50_percent_split,206549,0.355843460461653,0.353424534410042,0.358275753244507,0.11065959207617,0.109747597185766,0.111523322886,0.10689366145471,0.104434095625036,0.109522912696465,0.401483778532315,0.397813360836009,0.40539907056319,0.192026273451037
sex_and_birthyear,train_sample_n_5000,5000,evaluation_selection_50_percent_split,206549,0.360172734692532,0.357694688097122,0.362601035494635,0.111520214765431,0.110614193683658,0.112376900491093,0.0999477874960761,0.09719135094057,0.10277321837037,0.400243273201691,0.396454147119713,0.404034022159623,0.190753380413318
sex_and_birthyear,train_sample_n_50000,50000,evaluation_selection_50_percent_split,206549,0.356315227679771,0.353869902584602,0.358733105536236,0.110743363859843,0.10985434688476,0.111612053386672,0.106217560001722,0.103542613944524,0.10889547817627,0.401861450261194,0.398233771663568,0.40587066099123,0.210110862721473
sex_and_birthyear,train_sample_n_3696041,3696041,evaluation_selection_50_percent_split,206549,0.355833257249138,0.353406544733764,0.358279651726782,0.110656034250042,0.109744355308396,0.111524355373001,0.106922375793943,0.104446702429779,0.109568873129672,0.401483778532315,0.397813360836009,0.40539907056319,0.201550024577826
key_records,train_sample_n_100,100,evaluation_test_50_percent_split,206549,0.406240904199258,0.403340063025299,0.409199668753468,0.122835289000327,0.121776061495333,0.123876098977121,0.00558883254242559,0.00218545247462333,0.00922856454473609,0.323700057140346,0.319632230823583,0.327570207396973,0.158254774818066
key_records,train_sample_n_1000,1000,evaluation_test_50_percent_split,206549,0.323994833652752,0.321077368840757,0.326934086411419,0.097475550106547,0.09656717388663,0.0984310510434587,0.210888203472517,0.205258861990726,0.215602657088875,0.50079775528169,0.496172093546975,0.505249437374458,0.222168954682969
key_records,train_sample_n_10000,10000,evaluation_test_50_percent_split,206549,0.305666237278733,0.30314080974784,0.308353684938008,0.092969372284769,0.0921270291930038,0.0938601205514878,0.247367895790526,0.24220421171787,0.251923396857815,0.525105084355387,0.520340383059682,0.529659058127504,0.250858175491192
key_records,train_sample_n_100000,100000,evaluation_test_50_percent_split,206549,0.296758303569354,0.294142161939631,0.299386843299776,0.0904975035236849,0.0896144389519353,0.0913765080498262,0.267378870816644,0.262232438494954,0.27212182661197,0.53627292136703,0.531820682152461,0.541125609457499,0.280197636944785
