feature_set,sampling_file,training_set,model,grid_row,step,estimate_LogLoss,estimate_MSE,estimate_In_Sample_R2,estimate_R2_Holdout,estimate_AUC,ci_lower_LogLoss,ci_lower_MSE,ci_lower_In_Sample_R2,ci_lower_R2_Holdout,ci_lower_AUC,ci_upper_LogLoss,ci_upper_MSE,ci_upper_In_Sample_R2,ci_upper_R2_Holdout,ci_upper_AUC,evaluation_set,estimate_F1_Score,estimate_Accuracy,ci_lower_F1_Score,ci_lower_Accuracy,ci_upper_F1_Score,ci_upper_Accuracy,threshold_F1_Score,threshold_Accuracy,selection_set
decile10,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_1000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.30868017529744,0.0926420348506164,0.24823546010694,0.248235471833814,0.843099375976669,0.30554919576266,0.0916813661448368,0.242505121660613,0.24250954756131,0.840725399003081,0.31142587386779,0.0935178481558123,0.253783751085709,0.2537843098578,0.845526182271809,evaluation_selection_50_percent_split,0.534804356972559,0.876523246299909,0.529923070575571,0.87518203912873,0.539301872179115,0.877956804438656,0.26080367902648,0.56080367902648,evaluation_selection_50_percent_split
decile10,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_1000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.31183670404719,0.0937438382221079,0.245195945301389,0.245206402914805,0.841880365479088,0.308986568276004,0.092794289376409,0.239457882014566,0.239459176595755,0.839417637300251,0.314784847439508,0.0947017835805389,0.251046588343805,0.251048711016317,0.844389365597424,evaluation_test_50_percent_split,0.533318995975299,0.874775477005456,0.528534814592155,0.87333731947383,0.538026688825533,0.876223317469462,0.26080367902648,0.56080367902648,evaluation_selection_50_percent_split
decile10,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_10000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.295030831289678,0.0897464482195247,0.271732346320128,0.271955350072315,0.859233947404376,0.292258841827049,0.0888332841534981,0.266778870873011,0.26706132454003,0.857081216306385,0.29761006014394,0.0905907284352878,0.276676282195955,0.27689721188468,0.861390308479019,evaluation_selection_50_percent_split,0.543327466611451,0.877854649502055,0.538823050901454,0.8765230042266,0.547588610830399,0.879307089358941,0.250125521820712,0.510125521820712,evaluation_selection_50_percent_split
decile10,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_10000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.298279581726782,0.0907096530289764,0.269626514071743,0.269761319388188,0.857868353856578,0.295720863635364,0.0898416097056663,0.264519207742545,0.2646880139687,0.85573353456346,0.300918857168369,0.0915611223421789,0.27481797325586,0.274937581938518,0.860125870292319,evaluation_test_50_percent_split,0.544534412955466,0.875738928777191,0.54013055727959,0.874388038673632,0.548893530311059,0.877128671646922,0.250125521820712,0.510125521820712,evaluation_selection_50_percent_split
decile10,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.286402312165476,0.08743195673466,0.290513805827267,0.290524672237382,0.868663237590003,0.283722797827407,0.0865350537117169,0.285563950091894,0.285590127188827,0.866588556708999,0.288808237207513,0.0882370570832282,0.295377091250652,0.295378238433356,0.870747765735401,evaluation_selection_50_percent_split,0.554059253559061,0.880444833913502,0.549568040220948,0.879152041404219,0.558519564462987,0.881916760671802,0.290081237035172,0.520081237035172,evaluation_selection_50_percent_split
decile10,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.290015953348413,0.0886155799838468,0.286487513741437,0.286487515651493,0.866780114635338,0.287477220182861,0.087780207345566,0.281532883025352,0.281537060150112,0.864717366910391,0.292467237332227,0.0894638561707435,0.291583500295551,0.291592408362838,0.868808095511862,evaluation_test_50_percent_split,0.552753896163077,0.878183869202949,0.548215763829559,0.876789284867029,0.557337137569688,0.879592735864129,0.290081237035172,0.520081237035172,evaluation_selection_50_percent_split
decile10,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_1000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.282109694611253,0.0861307455028251,0.301072775787084,0.301077106617222,0.873001863019351,0.279485126261908,0.0852193960415094,0.296223113163267,0.296223129064495,0.87099389880197,0.284507502619862,0.086948254491849,0.305838501634851,0.30584409803856,0.875011570154812,evaluation_selection_50_percent_split,0.558997573820936,0.881853700574682,0.554513052537499,0.880531859268261,0.563363826494731,0.883345114234395,0.270109448398228,0.520109448398228,evaluation_selection_50_percent_split
decile10,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_1000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.285870500546814,0.087356032314248,0.296629104976979,0.296630419438135,0.871083833143045,0.283449373670454,0.0865455242286618,0.291862984947586,0.291864167431936,0.869117360821028,0.28830204066198,0.088165387514116,0.301534700163842,0.301535118841114,0.87308020080957,evaluation_test_50_percent_split,0.560222449875604,0.879984894625488,0.555730739671644,0.878663053319067,0.564548561613861,0.881306614895255,0.270109448398228,0.520109448398228,evaluation_selection_50_percent_split
decile10,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.281184079529192,0.0858812487072974,0.303097373411663,0.303099814145972,0.874071307915089,0.27856889339337,0.0849828889888284,0.298299401694131,0.298312312326442,0.872111913758389,0.283568444572437,0.0866905188281926,0.30783818765171,0.30784648722548,0.876059820172847,evaluation_selection_50_percent_split,0.560450940939756,0.882434676517437,0.555981711956012,0.881136921505309,0.564750341834723,0.883887237410978,0.270077911079341,0.520077911079341,evaluation_selection_50_percent_split
decile10,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.284620332863208,0.0870056237327287,0.299450515142683,0.29945326842138,0.872393512364522,0.282184527615785,0.0861944067319156,0.294680734350585,0.294688154152663,0.870380960275628,0.287038170626445,0.0878075576726221,0.304319060963578,0.304331567396999,0.874341780866737,evaluation_test_50_percent_split,0.561624241008874,0.880018784888816,0.557150559022688,0.878687139613361,0.565982069587041,0.881355029557151,0.270077911079341,0.520077911079341,evaluation_selection_50_percent_split
