feature_set,sampling_file,training_set,model,grid_row,step,estimate_LogLoss,estimate_MSE,estimate_In_Sample_R2,estimate_R2_Holdout,estimate_AUC,ci_lower_LogLoss,ci_lower_MSE,ci_lower_In_Sample_R2,ci_lower_R2_Holdout,ci_lower_AUC,ci_upper_LogLoss,ci_upper_MSE,ci_upper_In_Sample_R2,ci_upper_R2_Holdout,ci_upper_AUC,evaluation_set,estimate_F1_Score,estimate_Accuracy,ci_lower_F1_Score,ci_lower_Accuracy,ci_upper_F1_Score,ci_upper_Accuracy,threshold_F1_Score,threshold_Accuracy,selection_set,computing_environment
AS,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_1000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.314844985302472,0.0951435554665134,0.227936310829022,0.227936322872544,0.833630191582228,0.311871605403587,0.0942044750679828,0.223048094988929,0.22305208096739,0.83122905233631,0.317463337976605,0.0959937681273194,0.23316097068303,0.233169135970236,0.836173159634175,evaluation_selection_50_percent_split,0.52085885251672,0.869822657093474,0.516393456704635,0.868481449922295,0.525162465258121,0.871371926274153,0.221310834959838,0.511310834959838,evaluation_selection_50_percent_split,OSSC
AS,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_1000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.317849545587115,0.0961891636160717,0.225506741643563,0.225517472045764,0.832216347866507,0.315237466773238,0.0953040209494399,0.220396208352381,0.220397181841392,0.829866466729471,0.320591416212745,0.097088422398693,0.230611071029308,0.230624806689382,0.83467735625275,evaluation_test_50_percent_split,0.521285910853521,0.868326644040881,0.517015762735427,0.866898411514943,0.525693357410254,0.869817936663939,0.221310834959838,0.511310834959838,evaluation_selection_50_percent_split,OSSC
AS,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_10000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.301448912002313,0.0918759392977289,0.254452114045503,0.254680409199301,0.851161356946979,0.298757901009708,0.0909782938733056,0.249536999782349,0.249857293079408,0.848962968654468,0.303871684996575,0.0926692752782862,0.259433629897775,0.259666134033041,0.853433687978879,evaluation_selection_50_percent_split,0.533307263073984,0.87384107403086,0.528581738202514,0.872528673583508,0.537813071456807,0.875250182765349,0.280208991823366,0.500208991823366,evaluation_selection_50_percent_split,OSSC
AS,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_10000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.304495083725395,0.0927766178771938,0.25298378343533,0.253121660506998,0.849479843668616,0.302005758201071,0.0919195959780322,0.248010056920332,0.248181402604057,0.847231661182648,0.307034024041338,0.0936413652310504,0.25794131266626,0.258031650993689,0.851833230494016,evaluation_test_50_percent_split,0.536293027624145,0.872417682971111,0.531701364881666,0.870931231814243,0.540918710732939,0.873821708166101,0.280208991823366,0.500208991823366,evaluation_selection_50_percent_split,OSSC
AS,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.291244876149085,0.0888583465142624,0.278939046506619,0.278950090194436,0.863463038916784,0.288510393119453,0.0879626786782772,0.27392601213497,0.273946434477105,0.861427826308582,0.293632847817097,0.0896434361519394,0.284036494366092,0.284053665116873,0.865525700795542,evaluation_selection_50_percent_split,0.550700815875198,0.877612576192574,0.546092813167293,0.876232758328532,0.555074633899427,0.879089344417063,0.280056856741952,0.530056856741952,evaluation_selection_50_percent_split,OSSC
AS,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.294684965649387,0.0898976403619336,0.276164655299738,0.276164657237428,0.861347365225087,0.29220936194316,0.0890613610194971,0.271009873020638,0.271023500142898,0.859228106501046,0.297170382398106,0.0907579058782024,0.281183497159156,0.281197243828522,0.863443953111466,evaluation_test_50_percent_split,0.550046469086993,0.875869648364311,0.545586115221272,0.874402684108856,0.554434237110669,0.877327050724041,0.280056856741952,0.530056856741952,evaluation_selection_50_percent_split,OSSC
AS,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_1000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.287201986902795,0.0876181764111932,0.289002684556305,0.289007090177512,0.867640064369173,0.284622847898277,0.0867408974727588,0.284174559980404,0.284197949326392,0.865608006153791,0.289576750740396,0.0884120467294258,0.293902458877367,0.293904493013599,0.869694849330374,evaluation_selection_50_percent_split,0.55537180232125,0.879520113871285,0.550765622949604,0.878198272564864,0.559792906678824,0.880962870795792,0.280075718265092,0.510075718265092,evaluation_selection_50_percent_split,OSSC
AS,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_1000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.29079765210135,0.0888108218254062,0.284915470858932,0.284916807210554,0.865423701527726,0.288395177229326,0.0880092016898956,0.280082742204557,0.28008394686494,0.863260330158876,0.293319943880202,0.0896463729906452,0.289880703811851,0.28988248740948,0.867481864713538,evaluation_test_50_percent_split,0.554741949713277,0.877099380776474,0.550462221309785,0.875700076011019,0.559285871415643,0.878474357174327,0.280075718265092,0.510075718265092,evaluation_selection_50_percent_split,OSSC
AS,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.286424095924741,0.0873780065470169,0.290951596707574,0.290954079979553,0.868357559833073,0.283820462007221,0.08650447259965,0.286079735715556,0.28608440640477,0.866356097649917,0.28878153171448,0.0881589827060443,0.295846877223158,0.295848796118627,0.870407421704421,evaluation_selection_50_percent_split,0.557726730310263,0.879621784661267,0.553151859010816,0.878314467753414,0.562253307963434,0.881127722719548,0.280146089864151,0.510146089864151,evaluation_selection_50_percent_split,OSSC
AS,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.2897175096622,0.0884679356952285,0.287676311958107,0.287679111511427,0.866709045186868,0.287292915557374,0.0876497300508123,0.282884584251155,0.282886583522186,0.864584186041659,0.292143788731081,0.0893032539323137,0.292528304642544,0.292529951494986,0.868794095576465,evaluation_test_50_percent_split,0.556021728569536,0.877438283409748,0.551763016540711,0.876034137178103,0.560436708583877,0.878784211010462,0.280146089864151,0.510146089864151,evaluation_selection_50_percent_split,OSSC
