feature_set,sampling_file,training_set,model,grid_row,step,estimate_LogLoss,estimate_MSE,estimate_R2_Score,estimate_AUC,ci_lower_LogLoss,ci_lower_MSE,ci_lower_R2_Score,ci_lower_AUC,ci_upper_LogLoss,ci_upper_MSE,ci_upper_R2_Score,ci_upper_AUC,evaluation_set,estimate_F1_Score,ci_lower_F1_Score,ci_upper_F1_Score,threshold_F1_Score,selection_set
childcare,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.415073455524532,0.124001644462844,-0.0062391153854553,0.521632129990308,0.414186053962747,0.123636931786925,-0.00688943610047389,0.519305230348461,0.415748576799756,0.124304792203123,-0.00591468602025745,0.521339693917561,evaluation_selection_50_percent_split,0.251918147380209,0.248738417956163,0.252416282055994,0.0842730326486771,evaluation_selection_50_percent_split
childcare,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.417363785506012,0.124977037747329,-0.00628667040921482,0.523212052217231,0.417524025829794,0.125022833912519,-0.0062913436172592,0.523566776550414,0.419799515068255,0.125914328822187,-0.00597929304107064,0.523888255162741,evaluation_test_50_percent_split,0.253960904226275,0.25411783892542,0.257061286934044,0.0842730326486771,evaluation_selection_50_percent_split
education,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.3900237967698,0.118012835998235,0.0423584121533568,0.663926732381203,0.38862092722185,0.117487567699963,0.0412721269627398,0.661743115223792,0.391415434673834,0.118473794318014,0.0431909907121465,0.665752023879299,evaluation_selection_50_percent_split,0.315284914487307,0.312889322410101,0.315259580170943,0.158813510490826,evaluation_selection_50_percent_split
education,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.392381584468271,0.118953976654656,0.0422096470092716,0.664732556930707,0.391621074551463,0.118766504172736,0.0435268811351362,0.665718277090822,0.394164335460125,0.119717863588003,0.0440651492029029,0.668046117903665,evaluation_test_50_percent_split,0.317879778696148,0.318498299037166,0.322068558800745,0.158813510490826,evaluation_selection_50_percent_split
employment,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.402167507429323,0.120969442418742,0.018366367192978,0.613566431795509,0.401626854682167,0.120660003936607,0.0173543103599306,0.612099250793778,0.402714082247173,0.121226016684371,0.0189996449339186,0.614950146434916,evaluation_selection_50_percent_split,0.291298782048938,0.28745281432163,0.290782810165035,0.131345625156037,evaluation_selection_50_percent_split
employment,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.404880184053179,0.121971397813482,0.0179140584286236,0.611621883315227,0.404702935153407,0.121929616596981,0.018302157998614,0.611794197530704,0.407193521597797,0.12287513372605,0.0186056530945274,0.613772984492148,evaluation_test_50_percent_split,0.292629246891807,0.293921748205031,0.294905391120142,0.131345625156037,evaluation_selection_50_percent_split
family_AS,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.290168011106444,0.0884357912976016,0.282367965447623,0.864274568101092,0.291025497939047,0.088727914653746,0.277406320228728,0.862424439366464,0.291428849422343,0.0888267877255675,0.281184303155373,0.863406057373931,evaluation_selection_50_percent_split,0.551254402432781,0.548089079370775,0.551154436964998,0.300271379922918,evaluation_selection_50_percent_split
family_AS,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.29327099476293,0.0893998741472499,0.280172555597624,0.862569138603229,0.292119832071605,0.0890433749936406,0.280011520597536,0.861438234376342,0.295594783535535,0.0901181118540728,0.28330300674695,0.863895202715637,evaluation_test_50_percent_split,0.55032303499801,0.552393792758242,0.557441993848724,0.300271379922918,evaluation_selection_50_percent_split
family_AS_not_prefer,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.345324284256352,0.104203599185853,0.154416556982262,0.758566212115397,0.344964424871676,0.104027057906526,0.152811616540296,0.757065938398687,0.346025070989524,0.104434011955201,0.154885896306569,0.759012905763565,evaluation_selection_50_percent_split,0.394823375574486,0.392298012682966,0.395506480094772,0.202338178150507,evaluation_selection_50_percent_split
family_AS_not_prefer,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.347896007448882,0.105241317648888,0.15262085711708,0.757938499651155,0.34704654104292,0.104995410232764,0.150311191260332,0.755817130455985,0.351047785366686,0.106352207153662,0.154907571483439,0.759592071011134,evaluation_test_50_percent_split,0.394099372963083,0.396348954897612,0.396507027158533,0.202338178150507,evaluation_selection_50_percent_split
family_AS_prefer,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.291006125967948,0.0887631869923079,0.279711239759432,0.86360876332278,0.292129070342227,0.0891282157979884,0.274146218641161,0.861501097299015,0.292307231412284,0.0891714186680374,0.278395357658204,0.862667873723145,evaluation_selection_50_percent_split,0.550710333482877,0.547920651778654,0.550814359013529,0.280150435012303,evaluation_selection_50_percent_split
family_AS_prefer,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.294861240010139,0.0899608228584354,0.275655924214581,0.861131898041995,0.293741188379104,0.08964829323396,0.276143415265325,0.860237374008035,0.296955163611039,0.0906022418657806,0.278433903323357,0.86250641847147,evaluation_test_50_percent_split,0.549344436569809,0.552352547599418,0.554526601974518,0.280150435012303,evaluation_selection_50_percent_split
family_structure,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.296051914402114,0.0894190564603441,0.274389040072614,0.853783318729616,0.296849539578751,0.0896026008325181,0.27028283875727,0.851586316555808,0.296892911187221,0.0896300530076777,0.274683914480189,0.853237506140678,evaluation_selection_50_percent_split,0.541248079423236,0.536585265517311,0.541550158606142,0.260189518510355,evaluation_selection_50_percent_split
family_structure,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.299432826084012,0.0906272631526738,0.270289898608569,0.852203128744883,0.298632538478919,0.0904289144753219,0.270044519344536,0.85090832195347,0.301871928977469,0.0913656112611106,0.272150755237342,0.853369234411031,evaluation_test_50_percent_split,0.539977502154826,0.543594643103623,0.545386394682564,0.260189518510355,evaluation_selection_50_percent_split
